"rssi","rx","distance"
0,-48,"01"
0,-58,"01"
0,-57,"01"
0,-49,"01"
0,-50,"01"
0,-53,"01"
0,-59,"01"
0,-60,"01"
0,-61,"01"
0,-52,"01"
0,-54,"01"
0,-55,"01"
0,-47,"01"
0,-56,"01"
0,-51,"01"
0,-66,"01"
0,-76,"01"
-2,-57,"02"
-2,-59,"02"
-2,-56,"02"
-2,-54,"02"
-2,-55,"02"
-1,-58,"02"
-1,-57,"02"
-1,-55,"02"
-1,-54,"02"
-4,-54,"02"
-4,-55,"02"
-4,-53,"02"
-3,-56,"02"
-3,-55,"02"
-3,-54,"02"
-1,-56,"02"
0,-55,"02"
0,-56,"02"
0,-54,"02"
0,-53,"02"
0,-58,"02"
0,-59,"02"
-1,-59,"02"
-1,-60,"02"
-1,-53,"02"
-1,-52,"02"
-1,-65,"02"
-2,-58,"02"
-2,-71,"02"
-2,-53,"02"
-2,-60,"02"
-2,-61,"02"
-2,-72,"02"
-3,-57,"02"
-3,-59,"02"
-3,-68,"02"
-3,-60,"02"
-3,-58,"02"
-3,-62,"02"
-4,-56,"02"
-3,-61,"02"
-1,-61,"02"
-1,-62,"02"
0,-60,"02"
-2,-63,"02"
0,-61,"02"
-4,-59,"03"
-4,-58,"03"
-8,-58,"03"
-8,-59,"03"
-9,-59,"03"
-5,-57,"03"
-5,-58,"03"
-5,-78,"03"
-5,-55,"03"
-5,-54,"03"
-5,-53,"03"
-4,-55,"03"
-4,-54,"03"
-4,-57,"03"
-5,-59,"03"
-3,-55,"03"
-3,-54,"03"
-3,-58,"03"
-5,-56,"03"
-5,-65,"03"
-4,-64,"03"
-4,-56,"03"
-7,-57,"03"
-7,-58,"03"
-7,-53,"03"
-2,-63,"03"
-2,-58,"03"
-2,-57,"03"
-12,-57,"03"
-12,-58,"03"
-12,-59,"03"
-5,-60,"03"
-8,-60,"03"
-6,-58,"03"
-6,-57,"03"
-9,-58,"03"
-9,-57,"03"
-6,-53,"03"
-6,-56,"03"
-6,-59,"03"
-6,-70,"03"
-8,-56,"03"
-8,-57,"03"
-8,-66,"03"
-6,-60,"03"
-3,-65,"03"
-3,-56,"03"
-3,-57,"03"
-3,-50,"03"
-3,-51,"03"
-3,-53,"03"
-3,-60,"03"
-4,-60,"03"
-4,-52,"03"
-5,-50,"03"
-7,-60,"03"
-7,-59,"03"
-10,-58,"03"
-10,-57,"03"
-10,-55,"03"
-10,-59,"03"
-10,-65,"03"
-10,-50,"03"
-7,-56,"03"
-7,-66,"03"
-10,-56,"03"
-16,-58,"03"
-16,-59,"03"
-16,-64,"03"
-7,-54,"03"
-7,-52,"03"
-9,-54,"03"
-9,-52,"03"
-9,-56,"03"
-6,-52,"03"
-7,-55,"03"
-9,-55,"03"
-9,-53,"03"
-8,-54,"03"
-12,-53,"03"
-12,-54,"03"
-12,-52,"03"
-12,-51,"03"
-10,-53,"03"
-9,-60,"03"
-7,-66,"04"
-7,-67,"04"
-7,-65,"04"
-7,-68,"04"
-3,-65,"04"
-3,-67,"04"
-3,-66,"04"
-3,-72,"04"
-6,-66,"04"
-6,-65,"04"
-6,-67,"04"
-4,-65,"04"
-4,-66,"04"
-4,-68,"04"
-7,-64,"04"
-4,-67,"04"
-1,-67,"04"
-1,-65,"04"
-1,-66,"04"
-1,-64,"04"
-10,-65,"04"
-10,-66,"04"
-10,-64,"04"
-9,-68,"04"
-9,-65,"04"
-9,-67,"04"
-9,-66,"04"
-3,-81,"04"
-2,-66,"04"
-2,-65,"04"
-2,-67,"04"
-5,-65,"04"
-5,-66,"04"
-5,-67,"04"
-5,-68,"04"
-3,-68,"04"
-6,-68,"04"
-6,-69,"04"
-2,-70,"04"
-4,-69,"04"
-2,-68,"04"
-2,-71,"04"
-2,-72,"04"
-2,-69,"04"
-1,-71,"04"
-5,-69,"04"
-2,-62,"04"
-3,-70,"04"
-3,-63,"04"
-3,-69,"04"
-3,-71,"04"
-5,-71,"04"
-7,-69,"04"
-7,-71,"04"
-7,-61,"04"
-7,-70,"04"
-5,-70,"04"
-4,-63,"04"
-4,-64,"04"
-8,-69,"04"
-8,-67,"04"
-8,-66,"04"
-8,-71,"04"
-8,-68,"04"
-8,-65,"04"
-2,-77,"04"
-3,-74,"04"
-3,-82,"04"
-3,-73,"04"
-1,-68,"04"
-3,-66,"05"
-3,-65,"05"
-3,-67,"05"
-4,-65,"05"
-4,-66,"05"
-4,-64,"05"
-4,-72,"05"
-4,-73,"05"
-4,-71,"05"
-3,-64,"05"
-3,-70,"05"
-3,-72,"05"
-4,-70,"05"
-4,-74,"05"
-5,-65,"05"
-5,-66,"05"
-3,-74,"05"
-4,-85,"05"
-5,-71,"05"
-4,-67,"05"
-5,-67,"05"
-5,-72,"05"
-4,-68,"05"
-4,-69,"05"
-3,-69,"05"
-4,-63,"05"
-5,-64,"05"
-5,-70,"05"
-6,-65,"05"
